iddepto,nomdepto,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,fechageneración,fuente
00,Colombia,8.53,8.69,9.51,9.2,9.85,10.39,9.95,10.55,10.95,11.49,11.74,12.79,13.22,13.59,05/04/2020 12:00:00 AM,"Estadisticas Vitales - EEVV, Consultado en la bodega de datos del SISPRO 4 de mayo de 2020"
05,05 -Antioquia,9.74,10.57,9.89,10.12,11.62,11.93,11.62,12.26,12.85,12.63,12.36,13.47,15.29,14.09,05/04/2020 12:00:00 AM,"Estadisticas Vitales - EEVV, Consultado en la bodega de datos del SISPRO 4 de mayo de 2020"
08,08 - Atlántico,11.82,10.41,11.6,12.68,12.52,13.13,9.94,13.64,15.46,16.33,16.38,17.31,17.44,19.97,05/04/2020 12:00:00 AM,"Estadisticas Vitales - EEVV, Consultado en la bodega de datos del SISPRO 4 de mayo de 2020"
11,"11 - Bogotá, D.C.",10.07,9.56,12.08,10.51,11.37,11.51,11.46,12.13,11.34,11.6,12.12,13.18,12.81,12.73,05/04/2020 12:00:00 AM,"Estadisticas Vitales - EEVV, Consultado en la bodega de datos del SISPRO 4 de mayo de 2020"
13,13 - Bolívar,7.34,7.48,6.98,8.46,6.94,9.09,8.49,9.78,8.3,8.88,9.73,11.69,12.77,11.33,05/04/2020 12:00:00 AM,"Estadisticas Vitales - EEVV, Consultado en la bodega de datos del SISPRO 4 de mayo de 2020"
15,15 - Boyacá,6.51,6.34,8.08,5.22,6.47,10.41,8.35,8.5,7.08,8.02,10.36,12.39,8.78,11.9,05/04/2020 12:00:00 AM,"Estadisticas Vitales - EEVV, Consultado en la bodega de datos del SISPRO 4 de mayo de 2020"
17,17 - Caldas,10.52,9.89,10.68,13.88,14.05,11.82,14.99,14.36,12.14,10.92,15.65,20.57,15.59,18.31,05/04/2020 12:00:00 AM,"Estadisticas Vitales - EEVV, Consultado en la bodega de datos del SISPRO 4 de mayo de 2020"
18,18 - Caquetá,2.9,4.76,4.7,5.1,4.11,6.31,9.77,5.26,6.91,7.67,8.4,4.97,8.58,7.26,05/04/2020 12:00:00 AM,"Estadisticas Vitales - EEVV, Consultado en la bodega de datos del SISPRO 4 de mayo de 2020"
19,19 - Cauca,5.59,5.23,6.45,5.93,4.96,7.99,6.4,7.09,8.53,7.86,8.67,9.61,8.08,8.59,05/04/2020 12:00:00 AM,"Estadisticas Vitales - EEVV, Consultado en la bodega de datos del SISPRO 4 de mayo de 2020"
20,20 - Cesar,4.42,6.98,5.38,7,5.23,6.82,5.92,8.46,9.95,11.79,8.54,8.63,11.19,11.99,05/04/2020 12:00:00 AM,"Estadisticas Vitales - EEVV, Consultado en la bodega de datos del SISPRO 4 de mayo de 2020"
23,23 - Córdoba,3.28,4.99,4.52,3.79,5.54,7.36,5.74,8.85,6.41,7.86,6.22,9.24,8.75,8.96,05/04/2020 12:00:00 AM,"Estadisticas Vitales - EEVV, Consultado en la bodega de datos del SISPRO 4 de mayo de 2020"
25,25 - Cundinamarca,8.5,8.19,8.73,7,9.1,8.71,9.04,7.96,10.14,9.07,9.97,12.75,12.34,10.8,05/04/2020 12:00:00 AM,"Estadisticas Vitales - EEVV, Consultado en la bodega de datos del SISPRO 4 de mayo de 2020"
27,27 - Chocó,2.18,3.46,3,3.4,2.95,4.18,2.9,2.88,4.07,4.85,2,3.17,6.29,2.73,05/04/2020 12:00:00 AM,"Estadisticas Vitales - EEVV, Consultado en la bodega de datos del SISPRO 4 de mayo de 2020"
41,41 - Huila,8.54,6.46,9.27,10.29,8.83,11.12,8.97,8.13,10.34,12.5,12.34,11.33,11.03,12.07,05/04/2020 12:00:00 AM,"Estadisticas Vitales - EEVV, Consultado en la bodega de datos del SISPRO 4 de mayo de 2020"
44,44 - La Guajira,2.9,3.35,1.61,4.15,3.5,4.84,3.04,2.49,2.85,2.98,3.1,4.42,5.47,6.47,05/04/2020 12:00:00 AM,"Estadisticas Vitales - EEVV, Consultado en la bodega de datos del SISPRO 4 de mayo de 2020"
47,47 - Magdalena,5.61,7.82,8.45,4.44,9.32,6.39,8.16,9.24,8.34,9.07,9.79,11.28,13.06,13.55,05/04/2020 12:00:00 AM,"Estadisticas Vitales - EEVV, Consultado en la bodega de datos del SISPRO 4 de mayo de 2020"
50,50 - Meta,6.71,9.83,7.88,9.88,8.72,10.15,8.13,9.95,8.23,10.19,9.36,8.97,12.6,12.56,05/04/2020 12:00:00 AM,"Estadisticas Vitales - EEVV, Consultado en la bodega de datos del SISPRO 4 de mayo de 2020"
52,52 - Nariño,2.99,4.36,4.57,5.26,6.56,5.63,6.04,6.69,6.02,4.89,8.17,7.05,7.75,7.99,05/04/2020 12:00:00 AM,"Estadisticas Vitales - EEVV, Consultado en la bodega de datos del SISPRO 4 de mayo de 2020"
